country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB","06-03-2025 18:00:00",16.554731,80.649110,OZONE,5,43,36
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","06-03-2025 18:00:00",17.72,83.3,NH3,1,4,2
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","06-03-2025 18:00:00",26.071318,91.87488,NH3,4,5,4
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","06-03-2025 18:00:00",26.071318,91.87488,SO2,22,31,28
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","06-03-2025 18:00:00",26.071318,91.87488,CO,6,66,51
India,Assam,Guwahati,"IITG, Guwahati - PCBA","06-03-2025 18:00:00",26.2028636,91.70046436,SO2,19,22,20
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA","06-03-2025 18:00:00",26.10887,91.589544,PM2.5,58,283,134
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB","06-03-2025 18:00:00",25.265194,87.012947,OZONE,7,30,21
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB","06-03-2025 18:00:00",25.567520,83.966379,PM2.5,18,50,37
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB","06-03-2025 18:00:00",25.567520,83.966379,CO,31,64,57
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB","06-03-2025 18:00:00",24.792403,84.992416,CO,22,50,39
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","06-03-2025 18:00:00",16.5150833,80.5181667,PM2.5,32,207,89
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB","06-03-2025 18:00:00",14.675886,77.593027,PM2.5,17,75,62
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB","06-03-2025 18:00:00",13.204880,79.097889,PM2.5,32,160,82
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB","06-03-2025 18:00:00",16.536107,80.594233,PM10,54,90,70
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB","06-03-2025 18:00:00",16.536107,80.594233,NH3,3,3,3
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB","06-03-2025 18:00:00",21.224231,81.408350,PM2.5,18,116,47
